,I_p_0.005,I_p_0.007,I_p_0.01,I_p_0.05,I_predict,R_p_0.005,R_p_0.007,R_p_0.01,R_p_0.05,R_predict,S_p_0.005,S_p_0.007,S_p_0.01,S_p_0.05,V_p_0.005,V_p_0.007,V_p_0.01,V_p_0.05,beta,gamma,Region,Population,Date,I_actual,R_actual,S_actual,index,Confirmed,Deceased,Recovered,totalConfirmed,totalFatalities,totalRecovered
23,4249.0,4249.0,4249.0,4249.0,4249.0,528.0,528.0,528.0,528.0,528.0,1371355574.0,1371355574.0,1371355574.0,1371355574.0,0.0,0.0,0.0,0.0,0.12584542775646457,0.02106084243369735,India,1371360351,2020-04-06,4249.0,528.0,528.0,23.0,484.0,16.0,65.0,4777.0,134.0,394.0
24,4720.0,4720.0,4720.0,4720.0,4720.0,630.0,630.0,630.0,630.0,630.0,1371355001.0,1371355001.0,1371355001.0,1371355001.0,0.0,0.0,0.0,0.0,0.13485572981796987,0.024005648387855967,India,1371360351,2020-04-07,4720.0,630.0,630.0,24.0,573.0,27.0,75.0,5350.0,161.0,469.0
25,5169.0,5169.0,5169.0,5169.0,5169.0,746.0,746.0,746.0,746.0,746.0,1371354436.0,1371354436.0,1371354436.0,1371354436.0,0.0,0.0,0.0,0.0,0.11970385682347173,0.02457627118644068,India,1371360351,2020-04-08,5169.0,746.0,746.0,25.0,565.0,20.0,96.0,5915.0,181.0,565.0
26,5866.0,5866.0,5866.0,5866.0,5866.0,862.0,862.0,862.0,862.0,862.0,1371353623.0,1371353623.0,1371353623.0,1371353623.0,0.0,0.0,0.0,0.0,0.15728448571783674,0.0224414780421745,India,1371360351,2020-04-09,5866.0,862.0,862.0,26.0,813.0,46.0,70.0,6728.0,227.0,635.0
27,6564.0,6564.0,6564.0,6564.0,6564.0,1035.0,1035.0,1035.0,1035.0,1035.0,1371352752.0,1371352752.0,1371352752.0,1371352752.0,0.0,0.0,0.0,0.0,0.14848351060592638,0.029491987725877942,India,1371360351,2020-04-10,6564.0,1035.0,1035.0,27.0,871.0,22.0,151.0,7599.0,249.0,786.0
28,7191.0,7191.0,7191.0,7191.0,7191.0,1262.0,1262.0,1262.0,1262.0,1262.0,1371351898.0,1371351898.0,1371351898.0,1371351898.0,0.0,0.0,0.0,0.0,0.13010431630442504,0.03458257160268129,India,1371360351,2020-04-11,7191.0,1262.0,1262.0,28.0,854.0,41.0,186.0,8453.0,290.0,972.0
29,7793.0,7793.0,7793.0,7793.0,7793.0,1418.0,1418.0,1418.0,1418.0,1418.0,1371351140.0,1371351140.0,1371351140.0,1371351140.0,0.0,0.0,0.0,0.0,0.10541018944580163,0.02169378389653734,India,1371360351,2020-04-12,7793.0,1418.0,1418.0,29.0,758.0,42.0,114.0,9211.0,332.0,1086.0
30,8897.0,8897.0,8897.0,8897.0,8897.0,1557.0,1557.0,1557.0,1557.0,1557.0,1371349897.0,1371349897.0,1371349897.0,1371349897.0,0.0,0.0,0.0,0.0,0.15950318861794066,0.017836519953804697,India,1371360351,2020-04-13,8897.0,1557.0,1557.0,30.0,1243.0,27.0,112.0,10454.0,359.0,1198.0
31,9724.0,9724.0,9724.0,9724.0,9724.0,1761.0,1761.0,1761.0,1761.0,1761.0,1371348866.0,1371348866.0,1371348866.0,1371348866.0,0.0,0.0,0.0,0.0,0.12729175341487972,0.020430904315844226,India,1371360351,2020-04-14,9724.0,1761.0,1761.0,31.0,1031.0,37.0,167.0,11485.0,396.0,1365.0
32,10439.0,10439.0,10439.0,10439.0,10439.0,1932.0,1932.0,1932.0,1932.0,1932.0,1371347980.0,1371347980.0,1371347980.0,1371347980.0,0.0,0.0,0.0,0.0,0.09720628349948987,0.015506125392493318,India,1371360351,2020-04-15,10439.0,1932.0,1932.0,32.0,886.0,27.0,144.0,12371.0,423.0,1509.0
33,11216.0,11216.0,11216.0,11216.0,11216.0,2216.0,2216.0,2216.0,2216.0,2216.0,1371346919.0,1371346919.0,1371346919.0,1371346919.0,0.0,0.0,0.0,0.0,0.1067877144403529,0.029085449459111817,India,1371360351,2020-04-16,11216.0,2216.0,2216.0,33.0,1061.0,26.0,258.0,13432.0,449.0,1767.0
34,11827.0,11827.0,11827.0,11827.0,11827.0,2527.0,2527.0,2527.0,2527.0,2527.0,1371345997.0,1371345997.0,1371345997.0,1371345997.0,0.0,0.0,0.0,0.0,0.08464409994229781,0.021211487177800168,India,1371360351,2020-04-17,11827.0,2527.0,2527.0,34.0,922.0,38.0,273.0,14354.0,487.0,2040.0
35,12737.0,12737.0,12737.0,12737.0,12737.0,2988.0,2988.0,2988.0,2988.0,2988.0,1371344626.0,1371344626.0,1371344626.0,1371344626.0,0.0,0.0,0.0,0.0,0.11018260100444936,0.026293075925949306,India,1371360351,2020-04-18,12737.0,2988.0,2988.0,35.0,1371.0,35.0,426.0,15725.0,522.0,2466.0
36,13891.0,13891.0,13891.0,13891.0,13891.0,3414.0,3414.0,3414.0,3414.0,3414.0,1371343046.0,1371343046.0,1371343046.0,1371343046.0,0.0,0.0,0.0,0.0,0.12294305102223227,0.02769258083084332,India,1371360351,2020-04-19,13891.0,3414.0,3414.0,36.0,1580.0,38.0,388.0,17305.0,560.0,2854.0
37,14678.0,14678.0,14678.0,14678.0,14678.0,3866.0,3866.0,3866.0,3866.0,3866.0,1371341807.0,1371341807.0,1371341807.0,1371341807.0,0.0,0.0,0.0,0.0,0.0969467481130894,0.025510131364102767,India,1371360351,2020-04-20,14678.0,3866.0,3866.0,37.0,1239.0,33.0,419.0,18544.0,593.0,3273.0
38,15459.0,15459.0,15459.0,15459.0,15459.0,4622.0,4622.0,4622.0,4622.0,4622.0,1371340270.0,1371340270.0,1371340270.0,1371340270.0,0.0,0.0,0.0,0.0,0.10141006706512999,0.037424148400128344,India,1371360351,2020-04-21,15459.0,4622.0,4622.0,38.0,1537.0,53.0,703.0,20081.0,646.0,3976.0
39,16321.0,16321.0,16321.0,16321.0,16321.0,5052.0,5052.0,5052.0,5052.0,5052.0,1371338978.0,1371338978.0,1371338978.0,1371338978.0,0.0,0.0,0.0,0.0,0.09074284540776219,0.02719895730227875,India,1371360351,2020-04-22,16321.0,5052.0,5052.0,39.0,1292.0,36.0,394.0,21373.0,682.0,4370.0
40,17306.0,17306.0,17306.0,17306.0,17306.0,5734.0,5734.0,5734.0,5734.0,5734.0,1371337311.0,1371337311.0,1371337311.0,1371337311.0,0.0,0.0,0.0,0.0,0.10140640587529698,0.03395951652933042,India,1371360351,2020-04-23,17306.0,5734.0,5734.0,40.0,1667.0,40.0,642.0,23040.0,722.0,5012.0
41,18171.0,18171.0,18171.0,18171.0,18171.0,6277.0,6277.0,6277.0,6277.0,6277.0,1371335903.0,1371335903.0,1371335903.0,1371335903.0,0.0,0.0,0.0,0.0,0.08200591350304917,0.03701076613118363,India,1371360351,2020-04-24,18171.0,6277.0,6277.0,41.0,1408.0,59.0,484.0,24448.0,781.0,5496.0
42,19520.0,19520.0,19520.0,19520.0,19520.0,6763.0,6763.0,6763.0,6763.0,6763.0,1371334068.0,1371334068.0,1371334068.0,1371334068.0,0.0,0.0,0.0,0.0,0.09977606238107867,0.03304087743478488,India,1371360351,2020-04-25,19520.0,6763.0,6763.0,42.0,1835.0,44.0,442.0,26283.0,825.0,5938.0
43,20486.0,20486.0,20486.0,20486.0,20486.0,7404.0,7404.0,7404.0,7404.0,7404.0,1371332461.0,1371332461.0,1371332461.0,1371332461.0,0.0,0.0,0.0,0.0,0.08414421432300119,0.028117757743257688,India,1371360351,2020-04-26,20486.0,7404.0,7404.0,43.0,1607.0,56.0,585.0,27890.0,881.0,6523.0
44,21416.0,21416.0,21416.0,21416.0,21416.0,8042.0,8042.0,8042.0,8042.0,8042.0,1371330893.0,1371330893.0,1371330893.0,1371330893.0,0.0,0.0,0.0,0.0,0.06630187869464155,0.029955657393393224,India,1371360351,2020-04-27,21416.0,8042.0,8042.0,44.0,1568.0,58.0,580.0,29458.0,939.0,7103.0
45,22613.0,22613.0,22613.0,22613.0,22613.0,8747.0,8747.0,8747.0,8747.0,8747.0,1371328991.0,1371328991.0,1371328991.0,1371328991.0,0.0,0.0,0.0,0.0,0.08745381207427476,0.03293140404810016,India,1371360351,2020-04-28,22613.0,8747.0,8747.0,45.0,1902.0,69.0,636.0,31360.0,1008.0,7739.0
46,23557.0,23557.0,23557.0,23557.0,23557.0,9508.0,9508.0,9508.0,9508.0,9508.0,1371327286.0,1371327286.0,1371327286.0,1371327286.0,0.0,0.0,0.0,0.0,0.08247492091102021,0.030216573547291955,India,1371360351,2020-04-29,23557.0,9508.0,9508.0,46.0,1705.0,71.0,690.0,33065.0,1079.0,8429.0
47,24654.0,24654.0,24654.0,24654.0,24654.0,10213.0,10213.0,10213.0,10213.0,10213.0,1371325484.0,1371325484.0,1371325484.0,1371325484.0,0.0,0.0,0.0,0.0,0.08293015780513943,0.03466201010719398,India,1371360351,2020-04-30,24654.0,10213.0,10213.0,47.0,1802.0,75.0,630.0,34867.0,1154.0,9059.0
48,26011.0,26011.0,26011.0,26011.0,26011.0,11252.0,11252.0,11252.0,11252.0,11252.0,1371323088.0,1371323088.0,1371323088.0,1371323088.0,0.0,0.0,0.0,0.0,0.10011398010273734,0.03607791497139603,India,1371360351,2020-05-01,26011.0,11252.0,11252.0,48.0,2396.0,77.0,962.0,37263.0,1231.0,10021.0
49,27652.0,27652.0,27652.0,27652.0,27652.0,12175.0,12175.0,12175.0,12175.0,12175.0,1371320524.0,1371320524.0,1371320524.0,1371320524.0,0.0,0.0,0.0,0.0,0.08981313151574016,0.033327846170213254,India,1371360351,2020-05-02,27652.0,12175.0,12175.0,49.0,2564.0,92.0,831.0,39827.0,1323.0,10852.0
